ILMID	Multimap	SNPatCpGorExtensionBase	Liftover_fail
cg04572258	NA	1	NA
cg04573031	NA	1	NA
cg04573316	NA	1	NA
cg04574182	1	NA	NA
cg04575393	1	NA	NA
cg04575609	1	NA	NA
cg04576182	1	NA	NA
cg04576213	1	NA	NA
cg04576568	NA	1	NA
cg04576847	1	NA	NA
cg04577395	1	NA	NA
cg04578229	1	NA	NA
cg04578903	1	NA	NA
cg04579183	NA	1	NA
cg04581025	1	NA	NA
cg04582861	1	NA	NA
cg04584183	NA	1	NA
cg04585227	1	NA	NA
cg04585787	NA	1	NA
cg04586348	1	NA	NA
cg04586403	1	NA	NA
cg04587626	1	NA	NA
cg04587858	NA	1	NA
cg04588204	1	NA	NA
cg04589008	NA	1	NA
cg04589021	NA	1	NA
cg04589658	1	NA	NA
cg04590841	NA	1	NA
cg04591308	1	NA	NA
cg04591623	1	NA	NA
cg04592208	1	NA	NA
cg04592226	1	NA	NA
cg04593426	1	NA	NA
cg04596842	1	NA	NA
cg04599158	1	NA	NA
cg04599298	1	NA	NA
cg04599643	NA	1	NA
cg04600297	NA	1	NA
cg04600831	1	NA	NA
cg04601137	NA	1	NA
cg04601296	1	NA	NA
cg04601775	1	NA	NA
cg04602755	1	NA	NA
cg04603130	NA	1	NA
cg04603811	1	NA	NA
cg04603928	1	NA	NA
cg04604806	1	NA	NA
cg04605143	NA	1	NA
cg04605607	NA	1	NA
cg04606471	1	NA	NA
cg04606582	1	NA	NA
cg04606672	1	NA	NA
cg04607024	1	NA	NA
cg04607721	NA	1	NA
cg04608406	1	NA	NA
cg04608746	NA	1	NA
cg04609439	1	NA	NA
cg04610028	NA	1	NA
cg04610631	1	NA	NA
cg04610742	NA	1	NA
cg04611407	1	NA	NA
cg04611649	NA	1	NA
cg04612030	NA	1	NA
cg04612869	1	NA	NA
cg04613165	1	NA	NA
cg04613452	NA	1	NA
cg04613734	NA	1	NA
cg04613945	1	NA	NA
cg04614203	1	NA	NA
cg04614339	1	NA	NA
cg04615531	NA	1	NA
cg04616222	1	NA	NA
cg04616757	1	NA	NA
cg04618078	1	NA	NA
cg04618340	1	NA	NA
cg04622074	1	NA	NA
cg04622164	NA	1	NA
cg04623265	1	NA	NA
cg04624074	1	NA	NA
cg04624458	1	NA	NA
cg04626105	1	NA	NA
cg04627110	NA	1	NA
cg04627849	1	NA	NA
cg04628014	1	NA	NA
cg04628206	NA	1	NA
cg04628741	NA	1	NA
cg04629211	1	NA	NA
cg04629951	1	NA	NA
cg04630271	1	NA	NA
cg04630827	1	NA	NA
cg04631584	1	NA	NA
cg04635154	1	NA	NA
cg04636748	NA	1	NA
cg04636881	1	NA	NA
cg04636967	NA	1	NA
cg04637727	NA	1	NA
cg04637809	1	NA	NA
cg04638773	1	NA	NA
cg04640920	NA	1	NA
cg04643552	NA	1	NA
cg04644049	1	NA	NA
cg04644817	1	NA	NA
cg04645331	1	NA	NA
cg04646842	1	1	NA
cg04648048	1	NA	NA
cg04648451	NA	1	NA
cg04649587	NA	1	NA
cg04649852	1	NA	NA
cg04651193	1	NA	NA
cg04652208	1	NA	NA
cg04653337	1	NA	NA
cg04653800	NA	1	NA
cg04654132	1	1	NA
cg04654274	NA	1	NA
cg04655596	1	NA	NA
cg04657205	NA	1	NA
cg04657419	1	NA	NA
cg04657804	1	NA	NA
cg04658129	NA	1	NA
cg04658405	NA	1	NA
cg04659537	1	NA	NA
cg04659926	NA	1	NA
cg04660984	1	NA	NA
cg04661002	1	NA	NA
cg04661436	NA	1	NA
cg04662015	1	NA	NA
cg04662184	1	NA	NA
cg04662567	1	NA	NA
cg04662649	NA	1	NA
cg04662828	1	NA	NA
cg04663556	1	NA	NA
cg04664161	NA	1	NA
cg04664328	NA	1	NA
cg04664999	NA	1	NA
cg04665287	1	NA	NA
cg04665930	1	NA	NA
cg04667681	NA	1	NA
cg04668301	1	NA	NA
cg04668642	1	NA	NA
cg04669470	1	NA	NA
cg04669668	1	NA	NA
cg04670031	1	NA	NA
cg04671206	1	1	NA
cg04671367	1	NA	NA
cg04671591	1	NA	NA
cg04671659	NA	1	NA
cg04671971	NA	1	NA
cg04672210	NA	1	NA
cg04673565	1	NA	NA
cg04674267	1	NA	NA
cg04674357	1	NA	NA
cg04675246	NA	1	NA
cg04675342	1	NA	NA
cg04675747	1	NA	NA
cg04676388	1	1	NA
cg04676446	1	NA	NA
cg04678086	1	NA	NA
cg04678715	1	NA	NA
cg04678892	NA	1	NA
cg04678936	NA	1	NA
cg04679384	NA	1	NA
cg04679782	1	NA	NA
cg04680209	1	NA	NA
cg04680436	NA	1	NA
cg04680743	1	NA	NA
cg04681219	NA	1	NA
cg04681579	1	NA	NA
cg04681752	NA	1	NA
cg04683516	NA	1	NA
cg04684206	NA	1	NA
cg04684411	1	NA	NA
cg04685392	1	1	NA
cg04685954	1	NA	NA
cg04686114	1	NA	NA
cg04686481	NA	1	NA
cg04687040	NA	1	NA
cg04687310	NA	1	NA
cg04688024	1	NA	NA
cg04688450	1	NA	NA
cg04688788	NA	1	NA
cg04689048	NA	1	NA
cg04689167	1	NA	NA
cg04689451	1	NA	NA
cg04691018	1	NA	NA
cg04691277	1	NA	NA
cg04691869	NA	1	NA
cg04691944	1	NA	NA
cg04692023	1	NA	NA
cg04692156	1	NA	NA
cg04693379	1	NA	NA
cg04693423	1	NA	NA
cg04693782	1	NA	NA
cg04693928	NA	1	NA
cg04694239	1	NA	NA
cg04694875	1	NA	NA
cg04696193	NA	1	NA
cg04696943	1	NA	NA
cg04696969	NA	1	NA
cg04697454	NA	1	NA
cg04697775	1	NA	NA
cg04699462	1	NA	NA
cg04699668	1	NA	NA
cg04701181	1	NA	NA
cg04702396	1	NA	NA
cg04702538	NA	1	NA
cg04703951	1	NA	NA
cg04704085	1	NA	NA
cg04704247	1	NA	NA
cg04704495	1	NA	NA
cg04706400	1	NA	NA
cg04706962	1	NA	NA
cg04707255	1	NA	NA
cg04707822	NA	1	NA
cg04708216	1	NA	NA
cg04709822	1	NA	NA
cg04710226	1	NA	NA
cg04710661	1	NA	NA
cg04713789	1	NA	NA
cg04717373	1	NA	NA
cg04717450	1	NA	NA
cg04718234	1	NA	NA
cg04718747	1	NA	NA
cg04720065	1	NA	NA
cg04720596	NA	1	NA
cg04721775	1	NA	NA
cg04721884	1	NA	NA
cg04722177	1	NA	NA
cg04722349	1	NA	NA
cg04722795	1	NA	NA
cg04723170	1	NA	NA
cg04724556	NA	1	NA
cg04724646	1	NA	NA
cg04724735	1	NA	NA
cg04725144	NA	1	NA
cg04725313	1	NA	NA
cg04726019	NA	1	NA
cg04727367	1	NA	NA
cg04727458	NA	1	NA
cg04728180	1	NA	NA
cg04728413	1	NA	NA
cg04729609	1	NA	NA
cg04730029	1	NA	NA
cg04730254	1	NA	NA
cg04730314	1	NA	NA
cg04730365	1	NA	NA
cg04730459	1	NA	NA
cg04730930	1	NA	NA
cg04731120	1	NA	NA
cg04733533	1	NA	NA
cg04733787	1	NA	NA
cg04735281	NA	1	NA
cg04735481	1	NA	NA
cg04735632	NA	1	NA
cg04735660	NA	1	NA
cg04736951	NA	1	NA
cg04737042	1	NA	NA
cg04737133	1	NA	NA
cg04737405	1	NA	NA
cg04737832	1	NA	NA
cg04738355	NA	1	NA
cg04738692	1	NA	NA
cg04738700	NA	1	NA
cg04739156	1	NA	NA
cg04740939	1	NA	NA
cg04741128	1	NA	NA
cg04741728	1	NA	NA
cg04741860	NA	1	NA
cg04741880	NA	1	NA
cg04742511	1	NA	NA
cg04742624	NA	1	NA
cg04742671	1	NA	NA
cg04744717	1	NA	NA
cg04744735	NA	1	NA
cg04745934	1	NA	NA
cg04746406	1	NA	NA
cg04746649	NA	1	NA
cg04747957	1	NA	NA
cg04748098	1	1	NA
cg04748321	1	NA	NA
cg04748637	1	NA	NA
cg04749066	1	NA	NA
cg04749453	1	NA	NA
cg04751631	1	NA	NA
cg04751736	1	NA	NA
cg04752053	1	NA	NA
cg04753872	NA	1	NA
cg04753936	1	NA	NA
cg04754360	NA	1	NA
cg04754776	NA	1	NA
cg04755571	NA	1	NA
cg04755999	1	NA	NA
cg04756127	1	NA	NA
cg04756287	1	NA	NA
cg04756316	1	NA	NA
cg04757284	1	NA	NA
cg04757410	1	NA	NA
cg04757661	1	1	NA
cg04758034	NA	1	NA
cg04758185	1	NA	NA
cg04758329	NA	1	NA
cg04759651	1	NA	NA
cg04760604	1	NA	NA
cg04761094	NA	1	NA
cg04761751	NA	1	NA
cg04761824	NA	1	NA
cg04764012	1	NA	NA
cg04764131	1	NA	NA
cg04764474	NA	1	NA
cg04765207	1	NA	NA
cg04767174	1	NA	NA
cg04767500	NA	1	NA
cg04768488	NA	1	NA
cg04768713	1	NA	NA
cg04768745	1	NA	NA
cg04769879	1	NA	NA
cg04770282	1	NA	NA
cg04770983	1	NA	NA
cg04771673	1	NA	NA
cg04771729	1	NA	NA
cg04772328	NA	1	NA
cg04773352	NA	1	NA
cg04774770	1	NA	NA
cg04775059	1	NA	NA
cg04775824	1	NA	NA
cg04776304	1	NA	NA
cg04776597	1	NA	NA
cg04777112	1	NA	NA
cg04777312	1	NA	NA
cg04777474	NA	1	NA
cg04777644	1	NA	NA
cg04778411	1	NA	NA
cg04779410	1	NA	NA
cg04779597	1	NA	NA
cg04781018	NA	1	NA
cg04781095	NA	1	NA
cg04781587	1	NA	NA
cg04782552	1	1	NA
cg04783151	1	NA	NA
cg04784196	1	NA	NA
cg04784724	1	NA	NA
cg04784839	1	NA	NA
cg04784940	1	NA	NA
cg04786201	1	NA	NA
cg04786204	1	NA	NA
cg04787784	NA	1	NA
cg04789318	1	NA	NA
cg04789403	NA	1	NA
cg04789420	1	NA	NA
cg04789482	1	NA	NA
cg04789650	1	NA	NA
cg04789687	1	NA	NA
cg04789860	1	NA	NA
cg04790129	1	NA	NA
cg04791242	NA	1	NA
cg04791421	1	NA	NA
cg04791505	1	1	NA
cg04791523	1	NA	NA
cg04791747	1	NA	NA
cg04792167	1	NA	NA
cg04792352	1	NA	NA
cg04792642	1	NA	NA
cg04793118	1	NA	NA
cg04793637	1	NA	NA
cg04794369	1	NA	NA
cg04795638	1	NA	NA
cg04796017	1	NA	NA
cg04796672	1	NA	NA
cg04797166	1	NA	NA
cg04797224	1	NA	NA
cg04797294	NA	1	NA
cg04798102	NA	1	NA
cg04798314	NA	1	NA
cg04798930	NA	1	NA
cg04798984	1	NA	NA
cg04799493	1	NA	NA
cg04799859	NA	1	NA
cg04801401	1	NA	NA
cg04801974	1	NA	NA
cg04802018	NA	1	NA
cg04802210	1	NA	NA
cg04803153	NA	1	NA
cg04803509	1	NA	NA
cg04804643	NA	1	NA
cg04806421	1	NA	NA
cg04806933	NA	1	NA
cg04806936	1	NA	NA
cg04807004	NA	1	NA
cg04807108	NA	1	NA
cg04807694	1	NA	NA
cg04807739	1	NA	NA
cg04807864	1	NA	NA
cg04810755	1	NA	NA
cg04811771	1	NA	NA
cg04812789	NA	1	NA
cg04813004	NA	1	NA
cg04814784	NA	1	NA
cg04815891	NA	1	NA
cg04816348	1	NA	NA
cg04816979	1	NA	NA
cg04817258	1	NA	NA
cg04819714	1	NA	NA
cg04820078	1	NA	NA
cg04821026	1	NA	NA
cg04821387	1	NA	NA
cg04821895	1	NA	NA
cg04822213	1	NA	NA
cg04823299	NA	1	NA
cg04824555	1	NA	NA
cg04824818	1	NA	NA
cg04826176	1	NA	NA
cg04826882	1	NA	NA
cg04827640	1	NA	NA
cg04828041	1	NA	NA
cg04828714	1	NA	NA
cg04829448	NA	1	NA
cg04830958	NA	1	NA
cg04831011	NA	1	NA
cg04831495	1	NA	NA
cg04831589	1	NA	NA
cg04832019	1	NA	NA
cg04832545	1	NA	NA
cg04833630	NA	1	NA
cg04833898	1	NA	NA
cg04834061	1	NA	NA
cg04834204	NA	1	NA
cg04835511	NA	1	NA
cg04835653	1	NA	NA
cg04835841	1	NA	NA
cg04836020	NA	1	NA
cg04837091	NA	1	NA
cg04837750	1	NA	NA
cg04837923	1	NA	NA
cg04839219	NA	1	NA
cg04839289	1	NA	NA
cg04839314	NA	1	NA
cg04840108	NA	1	NA
cg04840356	NA	1	NA
cg04841997	1	NA	NA
cg04842136	1	NA	NA
cg04843568	NA	1	NA
cg04843821	NA	1	NA
cg04845613	1	NA	NA
cg04845615	NA	1	NA
cg04845915	1	NA	NA
cg04847110	NA	1	NA
cg04850148	1	NA	NA
cg04850254	NA	1	NA
cg04850659	1	NA	NA
cg04852271	1	NA	NA
cg04856396	1	NA	NA
cg04856657	1	NA	NA
cg04858090	NA	1	NA
cg04860082	1	NA	NA
cg04860622	1	NA	NA
cg04861489	1	NA	NA
cg04861944	1	NA	NA
cg04862290	NA	1	NA
cg04862890	1	NA	NA
cg04862906	1	NA	NA
cg04864199	NA	1	NA
cg04865220	NA	1	NA
cg04865692	1	NA	NA
cg04865814	1	NA	NA
cg04866810	1	NA	NA
cg04868554	1	NA	NA
cg04868962	NA	1	NA
cg04870415	1	NA	NA
cg04871364	1	NA	NA
cg04872027	1	NA	NA
cg04873857	NA	1	NA
cg04874292	1	NA	NA
cg04874343	1	NA	NA
cg04874673	1	NA	NA
cg04874822	NA	1	NA
cg04874825	1	NA	NA
cg04875706	NA	1	NA
cg04875821	NA	1	NA
cg04875995	1	NA	NA
cg04876407	NA	1	NA
cg04877802	NA	1	NA
cg04878119	1	NA	NA
cg04878159	NA	1	NA
cg04878869	1	NA	NA
cg04879235	1	NA	NA
cg04879348	NA	1	NA
cg04881008	1	NA	NA
cg04881348	NA	1	NA
cg04881464	NA	1	NA
cg04882216	NA	1	NA
cg04882870	1	NA	NA
cg04883157	1	NA	NA
cg04883911	1	NA	NA
cg04884171	1	NA	NA
cg04884395	1	NA	NA
cg04884732	NA	1	NA
cg04884842	1	NA	NA
cg04885303	1	NA	NA
cg04885343	NA	1	NA
cg04885885	NA	1	NA
cg04885935	1	NA	NA
cg04886382	1	NA	NA
cg04886662	1	NA	NA
cg04887076	1	NA	NA
cg04887080	1	NA	NA
cg04887461	1	NA	NA
cg04888234	NA	1	NA
cg04888425	1	NA	NA
cg04890459	NA	1	NA
cg04891165	1	NA	NA
cg04892919	NA	1	NA
cg04895735	1	NA	NA
cg04896011	1	NA	NA
cg04896534	1	NA	NA
cg04897504	NA	1	NA
cg04898518	1	NA	NA
cg04898773	1	NA	NA
cg04898939	1	NA	NA
cg04899153	1	NA	NA
cg04900893	1	NA	NA
cg04902364	1	NA	NA
cg04902542	1	NA	NA
cg04902924	1	NA	NA
cg04902930	1	NA	NA
cg04903146	1	NA	NA
cg04903439	1	NA	NA
cg04903884	1	NA	NA
cg04904527	1	1	NA
cg04905635	1	NA	NA
cg04906467	1	NA	NA
cg04907849	1	NA	NA
cg04908013	1	NA	NA
cg04908382	1	NA	NA
cg04909938	1	NA	NA
cg04910041	1	NA	NA
cg04910313	1	NA	NA
cg04911669	1	NA	NA
cg04911723	NA	1	NA
cg04912438	NA	1	NA
cg04913005	1	NA	NA
cg04913815	1	NA	NA
cg04913851	NA	1	NA
cg04914323	1	NA	NA
cg04917409	1	NA	NA
cg04917511	NA	1	NA
cg04917615	1	NA	NA
cg04917688	1	NA	NA
cg04920535	1	NA	NA
cg04922188	1	NA	NA
cg04922286	1	NA	NA
cg04922361	1	NA	NA
cg04922606	1	NA	NA
cg04923739	NA	1	NA
cg04925261	1	NA	NA
cg04926244	1	NA	NA
cg04926295	1	NA	NA
cg04926329	NA	1	NA
cg04927033	1	NA	NA
cg04927069	1	NA	NA
cg04928147	NA	1	NA
cg04928539	1	NA	NA
cg04930563	1	NA	NA
cg04931037	NA	1	NA
cg04932465	1	NA	NA
cg04932878	1	NA	NA
cg04934031	NA	1	NA
cg04934305	NA	1	NA
cg04935289	1	NA	NA
cg04936346	NA	1	NA
cg04936639	1	NA	NA
cg04937696	1	NA	NA
cg04937851	NA	1	NA
cg04937939	NA	1	NA
cg04938329	1	NA	NA
cg04938780	1	NA	NA
cg04939496	NA	1	NA
cg04940526	1	NA	NA
cg04940582	NA	1	NA
cg04941033	1	NA	NA
cg04941236	1	NA	NA
cg04941520	1	NA	NA
cg04942564	1	NA	NA
cg04943225	NA	1	NA
cg04943357	1	NA	NA
cg04943440	1	NA	NA
cg04943636	1	NA	NA
cg04944296	NA	1	NA
cg04944393	NA	1	NA
cg04944595	1	NA	NA
cg04944611	1	NA	NA
cg04944980	1	NA	NA
cg04946561	NA	1	NA
cg04947335	NA	1	NA
cg04947339	1	NA	NA
cg04947385	NA	1	NA
cg04947680	1	NA	NA
cg04948956	1	NA	NA
cg04949308	1	NA	NA
cg04951131	NA	1	NA
cg04952037	NA	1	NA
cg04952061	1	NA	NA
cg04952186	1	NA	NA
cg04952336	NA	1	NA
cg04953579	1	NA	NA
cg04953667	1	NA	NA
cg04954203	1	NA	NA
cg04954411	NA	1	NA
cg04957730	1	NA	NA
cg04958654	NA	1	NA
cg04960271	1	NA	NA
cg04960798	1	NA	NA
cg04961665	1	NA	NA
cg04962134	1	NA	NA
cg04963199	NA	1	NA
cg04963514	NA	1	NA
cg04963523	1	NA	NA
cg04963553	1	NA	NA
cg04963560	1	NA	NA
cg04964076	NA	1	NA
cg04964672	1	NA	NA
cg04964733	1	NA	NA
cg04967502	1	NA	NA
cg04967610	1	NA	NA
cg04967982	NA	1	NA
cg04968079	1	NA	NA
cg04968835	1	NA	NA
cg04968875	1	NA	NA
cg04970106	1	NA	NA
cg04970287	NA	1	NA
cg04970839	1	NA	NA
cg04972759	1	NA	NA
cg04972766	1	NA	NA
cg04974599	1	NA	NA
cg04975143	1	NA	NA
cg04975458	NA	1	NA
cg04975481	1	NA	NA
cg04976697	1	NA	NA
cg04976759	1	NA	NA
cg04977922	NA	1	NA
cg04978107	1	NA	NA
cg04978343	NA	1	NA
cg04978451	1	NA	NA
cg04978709	1	NA	NA
cg04979063	1	NA	NA
cg04979147	NA	1	NA
cg04979234	1	NA	NA
cg04980253	1	NA	NA
cg04980281	1	NA	NA
cg04981430	NA	1	NA
cg04981665	1	NA	NA
cg04981952	1	NA	NA
cg04982102	NA	1	NA
cg04983459	1	NA	NA
cg04984422	NA	1	NA
cg04984825	1	NA	NA
cg04984879	NA	1	NA
cg04985020	1	NA	NA
cg04985626	1	NA	NA
cg04986009	NA	1	NA
cg04986236	NA	1	NA
cg04986276	1	NA	NA
cg04986567	NA	1	NA
cg04986579	NA	1	NA
cg04986781	1	NA	NA
cg04987823	1	NA	NA
cg04988048	1	NA	NA
cg04988869	1	NA	NA
cg04989128	1	NA	NA
cg04990378	NA	1	NA
cg04990609	1	NA	NA
cg04992665	NA	1	NA
cg04992752	1	NA	NA
cg04994925	1	NA	NA
cg04995722	1	NA	NA
cg04996097	1	NA	NA
cg04996588	NA	1	NA
cg04998160	1	NA	NA
cg04998327	NA	1	NA
cg04998690	1	NA	NA
cg05000199	1	NA	NA
cg05000466	1	1	NA
cg05001044	1	NA	NA
cg05002041	1	NA	NA
cg05002642	1	NA	NA
cg05003723	1	NA	NA
cg05004405	1	NA	NA
cg05004662	1	NA	NA
cg05005577	1	NA	NA
cg05005706	NA	1	NA
cg05006954	1	NA	NA
cg05007442	NA	1	NA
cg05008061	1	NA	NA
cg05008218	1	NA	NA
cg05009707	1	NA	NA
cg05010752	1	NA	NA
cg05010929	NA	1	NA
cg05011276	1	NA	NA
cg05011784	NA	1	NA
cg05012044	1	NA	NA
cg05012125	1	NA	NA
cg05012158	1	NA	NA
cg05012457	NA	1	NA
cg05012624	1	NA	NA
cg05013661	1	NA	NA
cg05014211	1	NA	NA
cg05014724	NA	1	NA
cg05014842	NA	1	NA
cg05015452	1	NA	NA
cg05016131	1	NA	NA
cg05017760	1	NA	NA
cg05018648	NA	1	NA
cg05019180	1	NA	NA
cg05019583	1	NA	NA
cg05019905	1	NA	NA
cg05020203	1	NA	NA
cg05020924	1	NA	NA
cg05021075	NA	1	NA
cg05021394	1	NA	NA
cg05021638	1	NA	NA
cg05023043	1	NA	NA
cg05023192	NA	1	NA
cg05024121	1	NA	NA
cg05025046	NA	1	NA
cg05025211	NA	1	NA
cg05025332	NA	1	NA
cg05025392	1	1	NA
cg05026658	1	NA	NA
cg05029625	1	NA	NA
cg05029692	1	NA	NA
cg05030129	1	NA	NA
cg05031435	NA	1	NA
cg05031741	1	NA	NA
cg05031797	1	NA	NA
cg05032384	1	NA	NA
cg05033185	NA	1	NA
cg05033416	NA	1	NA
cg05033924	1	NA	NA
cg05035620	1	NA	NA
cg05036183	1	NA	NA
cg05036279	1	NA	NA
cg05036337	1	NA	NA
cg05036439	1	NA	NA
cg05037643	1	NA	NA
cg05038757	1	NA	NA
cg05040624	1	NA	NA
cg05041475	1	NA	NA
cg05041728	1	NA	NA
cg05042213	1	1	NA
cg05042606	1	NA	NA
cg05043047	1	NA	NA
cg05043627	NA	1	NA
cg05043952	1	NA	NA
cg05044339	1	NA	NA
cg05045104	1	NA	NA
cg05045332	1	NA	NA
cg05047706	1	NA	NA
cg05048927	1	NA	NA
cg05049028	1	NA	NA
cg05049094	1	NA	NA
cg05049390	1	NA	NA
cg05049681	1	NA	NA
cg05051118	1	NA	NA
cg05051262	1	NA	NA
cg05051571	1	NA	NA
cg05052407	1	NA	NA
cg05053718	1	NA	NA
cg05053751	1	NA	NA
cg05053829	1	NA	NA
cg05054149	1	NA	NA
cg05054944	1	NA	NA
cg05055827	1	NA	NA
cg05056133	NA	1	NA
cg05056300	1	NA	NA
cg05056825	NA	1	NA
cg05057291	NA	1	NA
cg05057827	NA	1	NA
cg05058150	1	NA	NA
cg05058508	1	NA	NA
cg05058886	1	NA	NA
cg05059224	1	NA	NA
cg05059349	NA	1	NA
cg05059458	1	NA	NA
cg05059874	1	NA	NA
cg05060577	1	NA	NA
cg05061769	NA	1	NA
cg05061813	1	NA	NA
cg05062653	1	NA	NA
cg05062676	NA	1	NA
cg05062854	1	NA	NA
cg05062939	NA	1	NA
cg05063690	NA	1	NA
cg05063856	1	NA	NA
cg05064683	1	NA	NA
cg05065669	1	NA	NA
cg05066387	1	NA	NA
cg05066804	1	NA	NA
cg05067286	1	NA	NA
cg05067864	NA	1	NA
cg05068035	1	NA	NA
cg05068146	1	NA	NA
cg05068597	1	NA	NA
cg05070608	NA	1	NA
cg05072063	1	NA	NA
cg05073880	1	NA	NA
cg05074385	NA	1	NA
cg05074631	NA	1	NA
cg05075416	NA	1	NA
cg05075473	1	1	NA
cg05076082	1	NA	NA
cg05076103	1	NA	NA
cg05079779	1	1	NA
cg05081006	1	NA	NA
cg05081263	NA	1	NA
cg05081346	NA	1	NA
cg05081352	NA	1	NA
cg05081416	1	NA	NA
cg05081498	1	NA	NA
cg05081751	1	NA	NA
cg05083038	1	NA	NA
cg05085749	1	NA	NA
cg05085816	NA	1	NA
cg05086021	1	NA	NA
cg05086178	1	NA	NA
cg05087067	1	NA	NA
cg05087455	NA	1	NA
cg05088433	NA	1	NA
cg05088515	1	NA	NA
cg05089527	NA	1	NA
cg05089903	1	NA	NA
cg05091817	1	NA	NA
cg05091921	1	NA	NA
cg05092304	1	NA	NA
cg05092371	NA	1	NA
cg05093071	1	NA	NA
cg05093318	1	NA	NA
cg05093469	1	NA	NA
cg05093535	NA	1	NA
cg05093818	NA	1	NA
cg05095057	NA	1	NA
cg05096099	NA	1	NA
cg05096209	1	NA	NA
cg05096415	NA	1	NA
cg05097165	NA	1	NA
cg05097306	1	NA	NA
cg05097696	1	NA	NA
cg05097953	1	NA	NA
cg05098425	NA	1	NA
cg05098551	NA	1	NA
cg05099196	1	NA	NA
cg05099605	1	NA	NA
cg05100650	NA	1	NA
cg05101432	1	NA	NA
cg05102422	1	NA	NA
cg05103956	1	NA	NA
cg05104351	1	NA	NA
cg05104993	1	NA	NA
cg05105016	NA	1	NA
cg05105207	NA	1	NA
cg05105212	NA	1	NA
cg05105330	NA	1	NA
cg05107246	1	NA	NA
cg05107686	1	NA	NA
cg05110901	NA	1	NA
cg05110962	NA	1	NA
cg05111645	NA	1	NA
cg05111898	NA	1	NA
cg05112224	1	NA	NA
cg05113908	1	NA	NA
cg05114178	NA	1	NA
cg05114739	NA	1	NA
cg05114858	1	NA	NA
cg05115161	1	NA	NA
cg05116255	1	NA	NA
cg05118621	1	NA	NA
cg05120668	1	NA	NA
cg05121388	1	NA	NA
cg05122861	1	NA	NA
cg05123257	1	NA	NA
cg05123368	1	NA	NA
cg05123378	1	NA	NA
cg05123933	NA	1	NA
cg05124770	1	NA	NA
cg05126514	NA	1	NA
cg05126797	1	NA	NA
cg05127456	1	NA	NA
cg05127924	1	NA	NA
cg05129479	1	NA	NA
cg05129572	NA	1	NA
cg05130405	1	NA	NA
cg05130642	NA	1	NA
cg05131102	1	NA	NA
cg05131142	1	NA	NA
cg05131202	NA	1	NA
cg05131479	1	NA	NA
cg05132568	1	NA	NA
cg05133090	1	NA	NA
cg05133591	NA	1	NA
cg05133756	1	NA	NA
cg05134736	NA	1	NA
cg05134987	1	NA	NA
cg05136139	1	NA	NA
cg05136724	NA	1	NA
cg05137159	1	NA	NA
cg05137662	1	NA	NA
cg05138138	NA	1	NA
cg05138546	NA	1	NA
cg05139472	1	1	NA
cg05140231	1	NA	NA
cg05140433	NA	1	NA
cg05140643	1	NA	NA
cg05141289	NA	1	NA
cg05141384	1	NA	NA
cg05141602	1	1	NA
cg05141924	NA	1	NA
cg05142358	1	NA	NA
cg05143364	1	NA	NA
cg05144540	1	NA	NA
cg05144642	1	NA	NA
cg05144954	NA	1	NA
cg05145251	1	NA	NA
cg05146307	1	1	NA
cg05146395	NA	1	NA
cg05146436	1	NA	NA
cg05146658	NA	1	NA
cg05147714	1	NA	NA
cg05149195	1	NA	NA
cg05151348	1	NA	NA
cg05152568	NA	1	NA
cg05152787	1	NA	NA
cg05154454	NA	1	NA
cg05155809	1	NA	NA
cg05156200	1	NA	NA
cg05156453	1	NA	NA
cg05157171	1	NA	NA
cg05157266	NA	1	NA
cg05157470	1	NA	NA
cg05157499	1	NA	NA
cg05157833	1	NA	NA
cg05158293	1	NA	NA
cg05158692	1	NA	NA
cg05159804	1	NA	NA
cg05159925	1	NA	NA
cg05160193	1	NA	NA
cg05161264	1	NA	NA
cg05161773	NA	1	NA
cg05162788	1	NA	NA
cg05162802	1	NA	NA
cg05163709	1	NA	NA
cg05163842	NA	1	NA
cg05164181	NA	1	NA
cg05164282	1	NA	NA
cg05164449	NA	1	NA
cg05164495	1	NA	NA
cg05164937	1	NA	NA
cg05164968	1	NA	NA
cg05165250	NA	1	NA
cg05165339	1	NA	NA
cg05165445	1	NA	NA
cg05167139	1	NA	NA
cg05167232	NA	1	NA
cg05167898	1	NA	NA
cg05168280	1	NA	NA
cg05168404	1	NA	NA
cg05168453	1	NA	NA
cg05169812	1	NA	NA
cg05170746	1	1	NA
cg05170856	1	NA	NA
cg05171197	NA	1	NA
cg05172061	NA	1	NA
cg05172141	1	NA	NA
cg05172609	1	NA	NA
cg05172887	NA	1	NA
cg05173058	NA	1	NA
cg05173611	1	NA	NA
cg05174338	NA	1	NA
cg05178291	1	NA	NA
cg05178316	1	NA	NA
cg05179125	1	NA	NA
cg05179499	NA	1	NA
cg05179529	NA	1	NA
cg05179820	1	NA	NA
cg05179993	1	NA	NA
cg05180512	1	NA	NA
cg05181565	1	NA	NA
cg05182217	NA	1	NA
cg05183538	1	NA	NA
cg05184256	1	NA	NA
cg05184308	1	NA	NA
cg05185519	1	NA	NA
cg05185684	NA	1	NA
cg05185738	NA	1	NA
cg05187322	NA	1	NA
cg05187508	1	NA	NA
cg05188358	1	NA	NA
cg05188963	1	NA	NA
cg05189730	1	NA	NA
cg05191217	NA	1	NA
cg05191435	1	NA	NA
cg05192639	1	NA	NA
cg05192974	1	NA	NA
